AvailabilityZone,BilledCost,BillingAccountID,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,ChargeCategory,ChargeDescription,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,ChargeSubcategory,CommitmentDiscountCategory,CommitmentDiscountID,CommitmentDiscount Name,CommitmentDiscountType,EffectiveCost,InvoiceIssuer,ListCost,ListUnitPrice,PricingCategory,PricingQuantity,PricingUnit,Provider,Publisher,Region,ResourceID,ResourceName,ResourceType,ServiceCategory,ServiceName,SKUID,SKUPriceID,SubAccountID,SubAccountName,Tags,UsageQuantity,UsageUnit
,826.53,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,826.53,IBM,826.53,1.5,On-Demand,551.02,GIGABYTE_MONTH,IBM,IBM,eu-de,crn:v1:bluemix:public:logdna:eu-de:a/76445171de0246759484e1174bf8f1f0:870a3997-23e8-441b-a9f2-d1660a9836ce::,logs-frankfurt-PY,service_instance,,IBM Log Analysis,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,551.02,GIGABYTE_MONTH
,9.912735406699008,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,9.912735406699008,IBM,9.912735406699007,0.000133235691,On-Demand,74399.99997222221,GIGABYTE_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::volume:r010-33c4be3c-0fd3-4503-8aa6-94a500d9eafc,bastion-boot-1683228244000,resource_instance,,Block Storage for VPC,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,74399.99997222221,GIGABYTE_HOUR
,34.89103524525456,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,34.89103524525456,IBM,1712.199749386778,2.301343750035,On-Demand,743.9999997222222,GIGABYTE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::instance:02c7_2202bf76-f41c-415a-8fde-6f44a53118cf,bastion,resource_instance,,Virtual Server for VPC,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,743.9999997222222,GIGABYTE_HOURS
,43.004520431757776,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,43.004520431757776,IBM,1504.9334639343222,2.022760032925,On-Demand,743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::instance:02c7_2202bf76-f41c-415a-8fde-6f44a53118cf,bastion,resource_instance,,Virtual Server for VPC,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS
,68.44799997444444,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,68.44799997444444,IBM,34.22399998722222,0.046,On-Demand,743.9999997222222,WINDOWS_VCPU_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::instance:02c7_2202bf76-f41c-415a-8fde-6f44a53118cf,bastion,resource_instance,,Virtual Server for VPC,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,743.9999997222222,WINDOWS_VCPU_HOURS
,1.045,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,1.045,IBM,1.045,1.045,On-Demand,1.0,INSTANCE,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::floating-ip:r010-b69ff41c-eccb-4bc2-8e93-3f2338f745b7,161.156.81.67,resource_instance,,Floating IP for VPC,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,1.0,INSTANCE
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,51.6648,On-Demand,0.0,NODE_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:sysdig-monitor:eu-de:a/76445171de0246759484e1174bf8f1f0:96c89425-8a6f-4cae-8224-3db052a94b58::,metrics-frankfurt-AT,service_instance,,IBM Cloud Monitoring,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,0.0,NODE_HOUR
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,13.99255,On-Demand,0.0,LITE_NODE_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:sysdig-monitor:eu-de:a/76445171de0246759484e1174bf8f1f0:96c89425-8a6f-4cae-8224-3db052a94b58::,metrics-frankfurt-AT,service_instance,,IBM Cloud Monitoring,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,0.0,LITE_NODE_HOUR
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,0.0,On-Demand,0.0,TIME_SERIES_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:sysdig-monitor:eu-de:a/76445171de0246759484e1174bf8f1f0:96c89425-8a6f-4cae-8224-3db052a94b58::,metrics-frankfurt-AT,service_instance,,IBM Cloud Monitoring,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,0.0,TIME_SERIES_HOUR
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,5.38175,On-Demand,0.0,CONTAINER_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:sysdig-monitor:eu-de:a/76445171de0246759484e1174bf8f1f0:96c89425-8a6f-4cae-8224-3db052a94b58::,metrics-frankfurt-AT,service_instance,,IBM Cloud Monitoring,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,0.0,CONTAINER_HOUR
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,0.010763499999999999,On-Demand,0.0,API_CALL_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:sysdig-monitor:eu-de:a/76445171de0246759484e1174bf8f1f0:96c89425-8a6f-4cae-8224-3db052a94b58::,metrics-frankfurt-AT,service_instance,,IBM Cloud Monitoring,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,0.0,API_CALL_HOUR
,0.129162,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.129162,IBM,0.258324,3.22905,On-Demand,0.08,GIGABYTE_MONTH,IBM,IBM,eu-de,crn:v1:bluemix:public:logdnaat:eu-de:a/76445171de0246759484e1174bf8f1f0:7b0318f5-0b39-4118-9803-aa4d24412913::,activity-frankfurt-ia,service_instance,,IBM Cloud Activity Tracker,,,7144fcea7f8a440f95b432ac47a76ba7,Default,,0.08,GIGABYTE_MONTH
,29.64809041053067,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,29.64809041053067,IBM,29.64809041053067,0.0007969916779999999,On-Demand,37199.99998611111,GIGABYTE_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::volume:r010-af628439-0a59-4590-afc6-32da5a55ca0e,pvc-49b3b281-1e09-4b8b-b957-16c8ddcf1005,resource_instance,,Block Storage for VPC,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'clusterid': 'ck637n7f06ji8rfbfsug', 'namespace': 'openshift-storage', 'provisioner': 'vpc.block.csi.ibm.io', 'pv': 'pvc-49b3b281-1e09-4b8b-b957-16c8ddcf1005', 'pvc': 'rook-ceph-mon-a', 'reclaimpolicy': 'delete', 'storageclass': 'ibmc-vpc-block-metro-10iops-tier'}",37199.99998611111,GIGABYTE_HOUR
,224.52276492553028,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,224.52276492553028,IBM,2034.843979640276,2.73500535,On-Demand,743.9999997222222,GIGABYTE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,GIGABYTE_HOURS
,371.39103972644114,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,371.39103972644114,IBM,371.39103972644114,0.49918150519503,On-Demand,743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,0.0,On-Demand,743.9999997222222,RHEL_INSTANCE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,RHEL_INSTANCE_HOURS
,14.094157434737845,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,14.094157434737845,IBM,0.140941574347378,0.0001894376,On-Demand,743.9999997222222,DISK_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-0000031a,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,DISK_HOURS
,23.863563179971525,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,23.863563179971525,IBM,23.86356317997153,0.030831399521999998,On-Demand,774.0019444444448,INSTANCE_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de:a/76445171de0246759484e1174bf8f1f0::load-balancer:r010-f21d96ae-2de6-4335-b954-b9d95ee00ee3,kube-ck637n7f06ji8rfbfsug-74835cf456c44c1f8358f24bb9f37ede,resource_instance,,Load Balancer for VPC,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,,774.0019444444448,INSTANCE_HOUR
,0.000310073531094,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.000310073531094,IBM,0.000310073531094,0.009910092704,On-Demand,0.031288661,GIGABYTE_MONTH,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de:a/76445171de0246759484e1174bf8f1f0::load-balancer:r010-f21d96ae-2de6-4335-b954-b9d95ee00ee3,kube-ck637n7f06ji8rfbfsug-74835cf456c44c1f8358f24bb9f37ede,resource_instance,,Load Balancer for VPC,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,,0.031288661,GIGABYTE_MONTH
,153.62083915957334,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,153.62083915957334,IBM,2034.843979640276,2.73500535,On-Demand,743.9999997222222,GIGABYTE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,GIGABYTE_HOURS
,185.69551986322057,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,185.69551986322057,IBM,185.69551986322057,0.249590752597515,On-Demand,743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,0.0,On-Demand,743.9999997222222,RHEL_INSTANCE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,RHEL_INSTANCE_HOURS
,14.094157434737845,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,14.094157434737845,IBM,0.140941574347378,0.0001894376,On-Demand,743.9999997222222,DISK_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000009a4,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,DISK_HOURS
,1.045,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,1.045,IBM,1.045,1.045,On-Demand,1.0,INSTANCE,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::floating-ip:r010-0b1dd87f-2c5a-482e-84fd-cab96e8c8996,161.156.169.116,resource_instance,,Floating IP for VPC,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,,1.0,INSTANCE
,29.64809041053067,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,29.64809041053067,IBM,29.64809041053067,0.0007969916779999999,On-Demand,37199.99998611111,GIGABYTE_HOUR,IBM,IBM,eu-de,crn:v1:bluemix:public:is:eu-de-2:a/76445171de0246759484e1174bf8f1f0::volume:r010-8c414455-44ff-4288-a178-104ae6947f87,pvc-a1ee78fd-b5c4-4fb3-9d60-39519d40d203,resource_instance,,Block Storage for VPC,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'clusterid': 'ck637n7f06ji8rfbfsug', 'namespace': 'openshift-storage', 'provisioner': 'vpc.block.csi.ibm.io', 'pv': 'pvc-a1ee78fd-b5c4-4fb3-9d60-39519d40d203', 'pvc': 'rook-ceph-mon-c', 'reclaimpolicy': 'delete', 'storageclass': 'ibmc-vpc-block-metro-10iops-tier'}",37199.99998611111,GIGABYTE_HOUR
,153.62083915957334,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,153.62083915957334,IBM,2034.843979640276,2.73500535,On-Demand,743.9999997222222,GIGABYTE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000006c9,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000006c9,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,GIGABYTE_HOURS
,185.69551986322057,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,185.69551986322057,IBM,185.69551986322057,0.249590752597515,On-Demand,743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000006c9,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000006c9,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,VIRTUAL_PROCESSOR_CORE_HOURS
,0.0,76445171de0246759484e1174bf8f1f0,IBM PoC - SQLI Maximo,USD,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,Usage,,Recurring,2024-03-31T00:00:00.000Z,2024-03-4T00:00:00.000Z,On-Demand,,,,,0.0,IBM,0.0,0.0,On-Demand,743.9999997222222,RHEL_INSTANCE_HOURS,IBM,IBM,eu-de,crn:v1:bluemix:public:containers-kubernetes:eu-de:a/76445171de0246759484e1174bf8f1f0:ck637n7f06ji8rfbfsug:worker:kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000006c9,ck637n7f06ji8rfbfsug_kube-ck637n7f06ji8rfbfsug-sqliocpv8-workerp-000006c9,service_instance,,Kubernetes Service,,,a2c3827b59314d98adc80c5a9de5a28c,sqli-rg,"{'schematicsid': 'eu-de.workspace.iks_-_cluster_integrations.51aa6c22', 'tf-int': ''}",743.9999997222222,RHEL_INSTANCE_HOURS
